,tmdb_id,name,place_of_birth,deathday,gender,known_for_department,popularity,profile_img_url,birthday_dt,year,month,weekday
3141,1267859,Na Young-hee,Boeun - South Korea,,1.0,Acting,4.964,https://image.tmdb.org/t/p/original/ywa8w8Uy1QYkN4OSaF2Z18rTJ2V.jpg,1961-03-03,1961.0,3.0,4.0
3142,2909779,Seo Yoon Ah,,,,Acting,0.6,,,,,
3143,1865300,Jung Ga-ram,"Miryang, South Gyeongsang, South Korea",,2.0,Acting,4.644,https://image.tmdb.org/t/p/original/vKk9FIHPRQlHXnxFZKTGVLHcIRV.jpg,1993-02-23,1993.0,2.0,1.0
3144,1334566,Kang Shin-hyo,,,2.0,Acting,1.22,,1989-08-13,1989.0,8.0,6.0
3145,125689,Kang Sung-pil,,,2.0,Acting,4.302,https://image.tmdb.org/t/p/original/znZW87RDuryHOn9R91mrY9YGBw2.jpg,1976-09-17,1976.0,9.0,4.0
3146,938258,Kim Hye-sun,"Seoul, South Korea",,1.0,Acting,6.864,https://image.tmdb.org/t/p/original/1wUftjM8vMeERxsVFkAkp4YrmRP.jpg,1969-09-28,1969.0,9.0,6.0
3147,2617531,Jo Han-joon,South Korea,,2.0,Acting,0.972,https://image.tmdb.org/t/p/original/5NpJErtd7DeOWl06VYoXdwDhZ52.jpg,1995-07-05,1995.0,7.0,2.0
3148,2028477,Jung Min-ah,South Korea,,1.0,Acting,2.065,https://image.tmdb.org/t/p/original/nBtFc1hBCB9Zpr0Zco4kZjzOs2C.jpg,1994-03-03,1994.0,3.0,3.0
3149,62332,Choi Sung-kook,,,2.0,Acting,6.314,https://image.tmdb.org/t/p/original/cJABnA1fl25MkDtKro5ZyWIjurY.jpg,1970-12-02,1970.0,12.0,2.0
3150,1322003,Baek Seo-bin,,,2.0,Acting,2.09,https://image.tmdb.org/t/p/original/5RD7lxR0az3RSjmnGmeQ1SfNq6T.jpg,1984-09-07,1984.0,9.0,4.0
3151,2152558,Kim Do-hoon,,,2.0,Acting,4.656,https://image.tmdb.org/t/p/original/ue8lEv5fcgbM0OcObSuUUdjvIG.jpg,1998-09-15,1998.0,9.0,1.0
3152,3475519,Choi Jae-rim,"Suwon, Gyeonggi Province, South Korea",,2.0,Acting,0.6,,1985-04-29,1985.0,4.0,0.0
3153,1552971,Lee Seung-yeon,,,1.0,Acting,1.4,https://image.tmdb.org/t/p/original/lobXCdOIeY47D5NhUFFtEc1uE11.jpg,1974-01-21,1974.0,1.0,0.0
3154,80461,Yu Jun-sang,"Seoul, South Korea",,2.0,Acting,13.961,https://image.tmdb.org/t/p/original/sRI7h5AsI9RMMvQWM4ef560aAeY.jpg,1969-11-28,1969.0,11.0,4.0
3155,1252339,Ham Eun-jeong,"Seoul, South Korea",,1.0,Acting,3.782,https://image.tmdb.org/t/p/original/5sra4rsKJknm3ov7NG94PCd1ciC.jpg,1988-12-12,1988.0,12.0,0.0
3156,2534265,Cha Ji-hyuk,,,2.0,Acting,2.538,https://image.tmdb.org/t/p/original/9Nm0ur9vNJoTf4Y0N6x8r8Ie7jJ.jpg,1993-07-02,1993.0,7.0,4.0
3157,2278963,Lee Chul Min,,,,Acting,0.6,,,,,
3158,3376734,Shin Hye-ji,South Korea,,1.0,Acting,0.6,https://image.tmdb.org/t/p/original/9veE7CH2hMJRD87Pr61m9urI5NV.jpg,2004-11-16,2004.0,11.0,1.0
